"","PC1","PC2","PC3","PC4"
"C..septemmaculatus.29",2.00764523961467,-0.122397298617751,-0.0569829811860264,0.0199531887749325
"C..cyanellus",0.0242075272101997,-0.28046642350909,0.0419939935102637,0.0228982577591749
"C..cyanellus.1",0.161561962793268,-0.21886997631631,0.0887247779973129,0.0468372588169803
"C..cyanellus.2",-0.507752053563155,-0.237786509948404,0.0365519629321252,0.0375802312246466
"C..cyanellus.3",0.439354678371971,-0.208866933675131,0.0364138689853415,0.0579653064874843
"C..cyanellus.4",0.24906754706774,-0.238812602469405,0.0875749173964487,0.0811782924405904
"C..cyanellus.5",1.12551862161309,-0.268019943373636,-0.00388661536959617,0.0278258576633419
"C..cyanellus.6",0.560319725655113,-0.270069562938188,0.0415311086255678,0.011000144213569
"C..cyanellus.7",0.13980770600806,-0.215606554060979,0.124976224569693,0.0698677687652144
"C..cyanellus.8",-0.0822829334792211,-0.234403919539329,0.0502772119576862,0.0563053563134805
"C..cyanellus.9",0.00260368799008534,-0.232309511175737,0.0888747163363539,0.0608831905642866
"C..cyanellus.10",0.609954753127681,-0.264495637847284,0.0496472529512071,0.0181869974611811
"C..cyanellus.11",0.250274124521728,-0.231639298442047,0.0186017408634906,0.0426546541006951
"C..cyanellus.12",0.894541137616262,-0.218769702779586,0.0770155289691642,0.0393943097985253
"C..cyanellus.13",0.37988706330699,-0.262892862837685,0.0421809142165041,0.0442651027862005
"C..cyanellus.14",0.48020445487537,-0.272216999076187,0.0606078138284717,0.0249663511131005
"C..cyanellus.15",0.427313059094591,-0.276372072335014,0.0389824010491396,0.0336753987171015
"C..cyanellus.16",0.585080842768051,-0.238907916544072,0.040872907135851,0.0323825970979803
"C..cyanellus.17",0.819344786535209,-0.202898879554321,0.107729079836196,0.106961225766294
"C..cyanellus.18",-0.175455158191548,-0.14490605752617,0.0248429066848103,-0.0115612700871658
"C..cyanellus.19",-0.443496207534535,-0.231685929492467,0.052042849022374,0.0825341764146866
"C..cyanellus.20",0.194857226338745,-0.252453551986909,0.0700839622912521,0.0162208380672579
